Winorloose;Schwierigkeitsgrad;Anzahl.der.Wörter;Anzahl.der.Bilder;Vollständige.Beschreibung;Views;Likes;Kommentare;Follower;Following;Anzahl.der.Projekte;Contest;Project_page;User_page
0;1;3526;20;0;1302;5;0;204;54;49;https://www.hackster.io/contests/sparkfun-blynk-contest;https://www.hackster.io/bltrobotics/classroom-greenhouse-with-blynk-bbcf0d;https://www.hackster.io/bltrobotics
0;1;3490;20;1;2407;12;0;42;0;10;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/hackstermia/android-things-led-blinker-6c23e2;https://www.hackster.io/brandmooffin
1;1;3375;14;1;4984;16;1;59;7;10;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/ruchir1674/air-quality-monitoring-7c5bae;https://www.hackster.io/ruchir1674
0;1;3375;14;1;4984;16;1;59;7;10;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/ruchir1674/air-quality-monitoring-7c5bae;https://www.hackster.io/ruchir1674
0;1;3348;7;0;3098;1;0;0;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/tianlye/remote-fall-detection-and-home-care-system-for-elderly-2d8a68;https://www.hackster.io/tianlye
0;1;3345;7;1;1962;8;3;17;0;9;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/BrayanBermudez/security-system-and-temperature-monitor-for-your-home-3f0fd6;https://www.hackster.io/BrayanBermudez
0;1;3201;25;1;750;5;0;0;0;2;https://www.hackster.io/contests/particle;https://www.hackster.io/Affarram/the-smart-bulb-light-switch-21273b;https://www.hackster.io/Affarram
0;1;3174;7;1;1173;19;3;24;0;5;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/corky2003/brick-droid-ab9c29;https://www.hackster.io/corky2003
0;1;3155;14;1;2880;20;0;35;0;11;https://www.hackster.io/contests/hologram;https://www.hackster.io/Abysmal/find-my-bike-082ebb;https://www.hackster.io/Abysmal
0;1;3098;11;1;121;2;0;0;1;1;https://www.hackster.io/contests/SeeedEarthDay;https://www.hackster.io/robertwerner/snorkel-sniffer-4af19d;https://www.hackster.io/robertwerner
0;1;3086;8;1;363;2;0;16;1;15;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/korn/linkit-one-wifi-meat-thermometer-502b58;https://www.hackster.io/korn
0;1;2899;11;0;18394;44;8;51;0;5;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/seeyouu/smart-wardrobe-5e6320;https://www.hackster.io/seeyouu
0;1;2857;8;1;326;3;0;201;68;26;https://www.hackster.io/contests/walabot2017;https://www.hackster.io/monica/schrodinger-s-cat-detector-498e1b;https://www.hackster.io/monica
0;1;2808;10;0;94;1;0;0;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/85654/nestx-thermostat-168efa;https://www.hackster.io/rianolegend
1;1;2718;4;1;6280;19;6;3;0;1;https://www.hackster.io/contests/hologram;https://www.hackster.io/daniel-goodman/bring-your-own-network-ethical-pentesting-tool-b03003;https://www.hackster.io/daniel-goodman
0;1;2580;12;1;2157;2;0;1;0;3;https://www.hackster.io/contests/ESP8266;https://www.hackster.io/danmart524/smart-ambient-lighting-0f19fb;https://www.hackster.io/danmart524
0;1;2533;24;1;88;6;0;7;1;8;https://www.hackster.io/contests/SeeedEarthDay;https://www.hackster.io/smart-city/balloonsonde-for-city-environment-monitoring-47ae99;https://www.hackster.io/kartsagar
1;1;2533;24;1;88;6;0;7;1;8;https://www.hackster.io/contests/STMicroelectronics;https://www.hackster.io/smart-city/balloonsonde-for-city-environment-monitoring-47ae99;https://www.hackster.io/kartsagar
0;1;2530;4;1;821;6;0;14;5;8;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/RealMitomon/automatic-pet-water-chiller-2e11e1;https://www.hackster.io/RealMitomon
0;1;2530;4;1;821;6;0;14;5;8;https://www.hackster.io/contests/particle;https://www.hackster.io/RealMitomon/automatic-pet-water-chiller-2e11e1;https://www.hackster.io/RealMitomon
1;1;2528;19;1;70;5;0;2;0;1;https://www.hackster.io/contests/STMicroelectronics;https://www.hackster.io/smart-lab/smart-and-healthy-students-laboratory-6ebd17;https://www.hackster.io/kartphy
0;1;2515;10;0;899;11;0;1;0;1;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/rgfindl/r2d2-weather-assistant-5f39ce;https://www.hackster.io/rgfindl
0;1;2499;13;1;4082;9;2;7;0;1;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/7441/lights-iot-ba637e;https://www.hackster.io/phantom-hawking-11
0;1;2462;18;1;4809;17;0;5;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/teamnature/plant-monitoring-using-alexa-ad501f;https://www.hackster.io/renu-kumar
0;1;2422;4;0;3567;6;0;33;1;9;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/uladzislau-bayouski/blackout-the-power-button-87e276;https://www.hackster.io/uladzislau-bayouski
0;1;2421;9;1;10524;38;31;55;9;12;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/LightPro/turn-lights-on-when-approaching-home-2634da;https://www.hackster.io/LightPro
0;1;2417;11;1;2591;12;0;41;1;18;https://www.hackster.io/contests/particle;https://www.hackster.io/TinamousSteve/internet-connected-power-usage-monitor-af175d;https://www.hackster.io/TinamousSteve
0;1;2394;22;0;446;3;0;19;3;16;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/austin-stanton/adding-nobs-to-the-analog-discovery-2-using-labview-e68f60;https://www.hackster.io/austin-stanton
0;1;2374;12;0;44681;90;51;81;0;13;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/charifmahmoudi/arduino-mkr1000-getting-started-08bb4a;https://www.hackster.io/charifmahmoudi
0;1;2344;18;1;274;3;0;19;3;16;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/austin-stanton/making-physical-touchpad-controls-for-your-wf32-309cf1;https://www.hackster.io/austin-stanton
0;1;2331;25;1;595;8;0;1;0;4;https://www.hackster.io/contests/amazon-alexa-skill-contest-one;https://www.hackster.io/user6148000/550-cool-humanbody-facts-69ef0f;https://www.hackster.io/user6148000
0;1;2309;28;1;1602;12;1;5;0;2;https://www.hackster.io/contests/AWSIoTMegaContest;https://www.hackster.io/SibiSank/summon-the-chef-2ef7f5;https://www.hackster.io/SibiSank
1;1;2307;4;1;1788;11;0;1;0;2;https://www.hackster.io/contests/ESP8266;https://www.hackster.io/WJ4IoT/home-automation-with-self-learning-433-power-switches-9d52dd;https://www.hackster.io/WJ4IoT
0;1;2269;6;1;949;9;0;40;23;5;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/pulcher/you-are-the-ultimate-bounty-hunter-bcac23;https://www.hackster.io/pulcher
1;1;2254;2;0;503;3;0;113;2;7;https://www.hackster.io/contests/amazon-alexa-skill-contest-one;https://www.hackster.io/kemfic/alexa-science-trivia-616c2b;https://www.hackster.io/kemfic
1;1;2229;20;1;720;1;0;5;0;2;https://www.hackster.io/contests/alexa-raspberry-pi;https://www.hackster.io/user33177/random-generator-3ed114;https://www.hackster.io/user33177
0;1;2193;10;1;856;7;0;58;0;92;https://www.hackster.io/contests/particle;https://www.hackster.io/ingo-lohs/i-keep-my-cucumber-growing-conditions-moist-part-3-61570a;https://www.hackster.io/ingo-lohs
0;1;2156;5;1;4618;16;0;5;4;2;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/TomatoMan/robot-rover-iphone-controlled-using-blynk-joystick-572153;https://www.hackster.io/TomatoMan
0;1;2128;0;1;252;0;0;0;0;6;https://www.hackster.io/contests/pi-day-contest;https://www.hackster.io/justin-revelstoke/pi-quiz-c2c471;https://www.hackster.io/justin-revelstoke
0;1;2113;7;1;180;0;0;0;0;1;https://www.hackster.io/contests/make-halloween-2016-contest;https://www.hackster.io/amanda-thomas/luna-lovegood-lion-hat-harry-potter-1868b7;https://www.hackster.io/amanda-thomas
0;1;2097;6;0;2433;9;0;33;1;9;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/uladzislau-bayouski/merge-the-dyson-link-b763c3;https://www.hackster.io/uladzislau-bayouski
0;1;2075;13;0;866;0;0;19;3;16;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/austin-stanton/analog-discovery-2-usb-oscilloscope-labview-2016-update-374b9c;https://www.hackster.io/austin-stanton
0;1;2072;19;1;703;6;0;0;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/85993/venetianmover-alexa-controlled-blinds-1aee7e;https://www.hackster.io/jdpwebb
0;1;2068;6;1;17326;69;10;133;0;11;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/peejster/enter-the-house-like-a-sith-lord-337d91;https://www.hackster.io/peejster
0;1;2066;20;0;916;14;0;5;0;5;https://www.hackster.io/contests/amazon-alexa-skill-contest-one;https://www.hackster.io/extentia/brick-bot-fe61fe;https://www.hackster.io/extentia
0;1;2063;17;1;200;0;0;44;15;15;https://www.hackster.io/contests/artikcloud;https://www.hackster.io/zanycadencedev/pebble-smartwatch-logging-with-artik-cloud-d76a86;https://www.hackster.io/zanycadencedev
0;1;2023;18;0;7755;37;7;6;0;1;https://www.hackster.io/contests/AWSIoTMegaContest;https://www.hackster.io/phantom-formula-e97912/network-monitoring-with-aws-iot-b8b57c;https://www.hackster.io/user2476761254
0;1;2019;2;1;101;1;0;4;0;4;https://www.hackster.io/contests/UKAmazonAlexa;https://www.hackster.io/yachting/winston-churchill-quotes-716dee;https://www.hackster.io/yachting
0;1;2016;8;1;220;2;0;15;32;8;https://www.hackster.io/contests/walabot-rpi-mobile-app;https://www.hackster.io/ishotjr/walabasquiat-an-interactive-generative-art-installation-759e24;https://www.hackster.io/ishotjr
0;1;2012;9;1;1773;7;3;17;0;7;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/chathuranga-liyanage/prank-your-friends-with-talking-darth-vader-972824;https://www.hackster.io/chathuranga-liyanage
0;1;2011;0;1;2778;1;1;0;0;1;https://www.hackster.io/contests/AWSIoTMegaContest;https://www.hackster.io/ramsesgs/raspberry-pi-weather-station-48c2ee;https://www.hackster.io/ramsesgs
0;1;2009;4;1;544;3;0;0;0;1;https://www.hackster.io/contests/amazon-alexa-skill-contest-one;https://www.hackster.io/kielni/alexa-help-me-with-school-day-mornings-44f3ec;https://www.hackster.io/kielni
1;1;1999;5;1;567;6;4;0;0;6;https://www.hackster.io/contests/alexa-api-contest;https://www.hackster.io/justin-revelstoke/recipe-suggestions-with-alexa-588f0e;https://www.hackster.io/justin-revelstoke
0;1;1999;12;0;2767;3;0;14;9;9;https://www.hackster.io/contests/artikcloud;https://www.hackster.io/crazycoder1999/door-sensor-152f0e;https://www.hackster.io/crazycoder1999
0;1;1999;9;1;1729;16;4;35;0;11;https://www.hackster.io/contests/Infineon3D;https://www.hackster.io/Abysmal/hidden-door-lock-for-smart-buildings-b17bb5;https://www.hackster.io/Abysmal
0;1;1997;11;1;4483;12;0;40;23;5;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/pulcher/beertracker-eff875;https://www.hackster.io/pulcher
0;1;1997;22;1;675;4;0;20;0;4;https://www.hackster.io/contests/artikcloud;https://www.hackster.io/tushar-chugh/smart-lights-with-artik-abdd39;https://www.hackster.io/tushar-chugh
0;1;1986;12;0;2423;11;3;33;1;9;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/uladzislau-bayouski/ifttt-the-phone-connected-3a009b;https://www.hackster.io/uladzislau-bayouski
0;1;1984;6;1;291;1;0;5;0;7;https://www.hackster.io/contests/particle;https://www.hackster.io/3magku/automated-door-sign-fbde9a;https://www.hackster.io/3magku
1;1;1965;7;0;4549;14;0;25;0;8;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/VBB/virtual-breadboard-smart-home-alexa-skill-edge-bit-gadget-e3b14d;https://www.hackster.io/VBB
1;1;1957;19;1;3427;91;0;1;0;1;https://www.hackster.io/contests/make-halloween-2016-contest;https://www.hackster.io/harley/rey-and-her-falcon-6cdfee;https://www.hackster.io/dino-ignacio28
0;1;1945;11;1;266;2;0;2;0;3;https://www.hackster.io/contests/arduino-automation-robotics;https://www.hackster.io/Paj/pick-to-light-project-2-wifi-159734;https://www.hackster.io/Paj
1;1;1931;6;0;1801;6;0;0;0;1;https://www.hackster.io/contests/arduino-automation-robotics;https://www.hackster.io/Marcos10Soares/object-avoiding-fsm-robot-arm-3f1296;https://www.hackster.io/Marcos10Soares
0;1;1931;19;1;507;0;0;18;2;15;https://www.hackster.io/contests/wiznet;https://www.hackster.io/Jade7272/wiznet-interior-sensor-board-64a35d;https://www.hackster.io/Jade7272
0;1;1929;14;1;593;1;0;5;0;2;https://www.hackster.io/contests/ESP8266;https://www.hackster.io/JBijnens/analyse-the-ir-protocol-for-a-toy-remote-c774af;https://www.hackster.io/JBijnens
0;1;1922;3;1;3784;17;3;46;0;9;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/jscottb/mkr1000-servo-control-panel-d29b14;https://www.hackster.io/jscottb
1;1;1899;22;1;72;0;0;4;0;4;https://www.hackster.io/contests/alexa-raspberry-pi;https://www.hackster.io/user16237/amazing-facts-50e9f5;https://www.hackster.io/user16237
1;1;1893;18;1;237;1;0;1;0;4;https://www.hackster.io/contests/alexa-raspberry-pi;https://www.hackster.io/user6148000/bible-verse-b9f6ed;https://www.hackster.io/user6148000
1;1;1884;6;1;1133;5;0;60;1;12;https://www.hackster.io/contests/arduino-holiday-contest;https://www.hackster.io/carmelito/holiday-wreath-automation-1fd7ea;https://www.hackster.io/carmelito
0;1;1858;8;1;1482;8;0;336;2;47;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/mjrobot/computer-firing-all-weapons-cc962e;https://www.hackster.io/mjrobot
0;1;1819;12;1;254;3;1;17;1;13;https://www.hackster.io/contests/Infineon3D;https://www.hackster.io/amerch92/laziest-way-to-pass-salt-6526cf;https://www.hackster.io/amerch92
0;1;1817;6;1;3053;11;3;23;0;9;https://www.hackster.io/contests/AWSIoTMegaContest;https://www.hackster.io/shivanshsingh/aws-cloud-enabled-burglar-alarm-ba1af1;https://www.hackster.io/shivanshsingh
0;1;1806;23;1;1000;10;7;119;4;48;https://www.hackster.io/contests/artikcloud;https://www.hackster.io/wesee/connecting-hexiwear-with-artik-cloud-using-device-simulator-ec1f0c;https://www.hackster.io/wesee
0;1;1800;12;0;20639;29;3;229;0;19;https://www.hackster.io/contests/alexa-raspberry-pi;https://www.hackster.io/Salmanfarisvp/setting-vnc-server-in-raspberry-pi-2ba03a;https://www.hackster.io/Salmanfarisvp
0;1;1795;8;1;1422;9;0;94;6;27;https://www.hackster.io/contests/Infineon3D;https://www.hackster.io/Nyceane/3d-magnetic-sensor-space-shooter-b2476a;https://www.hackster.io/Nyceane
0;1;1778;5;0;2956;3;0;11;3;6;https://www.hackster.io/contests/amazon-alexa-skill-contest-one;https://www.hackster.io/jreese/alexa-begin-self-destruct-sequence-5c8e67;https://www.hackster.io/jreese
0;1;1778;5;1;1421;9;0;142;0;25;https://www.hackster.io/contests/AWSIoTMegaContest;https://www.hackster.io/pooja_baraskar/environment-monitor-with-aws-iot-a80a30;https://www.hackster.io/pooja_baraskar
0;1;1778;5;0;2956;3;0;11;3;6;https://www.hackster.io/contests/UKAmazonAlexa;https://www.hackster.io/jreese/alexa-begin-self-destruct-sequence-5c8e67;https://www.hackster.io/jreese
0;1;1765;6;0;327;2;0;24;1;22;https://www.hackster.io/contests/artikcloud;https://www.hackster.io/LaurenceHR/consuming-artik-cloud-api-from-postman-chrome-extension-8f6dfb;https://www.hackster.io/LaurenceHR
0;1;1734;4;0;548;8;0;3;0;1;https://www.hackster.io/contests/amazon-alexa-skill-contest-one;https://www.hackster.io/irishclanger/daily-buzzword-fda885;https://www.hackster.io/IrishClanger
0;1;1731;5;1;3992;18;2;63;15;26;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/PatelDarshil/voice-activated-media-appliances-using-arduino-and-alexa-559280;https://www.hackster.io/PatelDarshil
0;1;1728;5;0;548;1;0;2;0;1;https://www.hackster.io/contests/chinausyoungmakercompetition;https://www.hackster.io/15336/home-auto-control-system-000c2b;https://www.hackster.io/user7710175078
0;1;1707;9;1;9656;38;7;15;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/flower-platform/program-mkr-over-the-air-goodies-voice-control-etc-562e9a;https://www.hackster.io/cristianspiescu
0;1;1698;9;1;31;2;0;1;0;3;https://www.hackster.io/contests/make-halloween-2016-contest;https://www.hackster.io/justmeasuringup/making-a-fire-truck-costume-from-a-diaper-box-and-iphone-f12999;https://www.hackster.io/justmeasuringup
0;1;1686;8;1;373;2;0;4;0;1;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/rohitr/feel-the-force-detecting-the-force-503ff3;https://www.hackster.io/rohitr
1;1;1685;5;1;6553;30;4;12;1;10;https://www.hackster.io/contests/hologram;https://www.hackster.io/cybermah/trail-camera-e1deff;https://www.hackster.io/cybermah
0;1;1683;15;1;147;4;0;0;0;3;https://www.hackster.io/contests/make-halloween-2016-contest;https://www.hackster.io/user62686082/3d-printed-ghost-pendant-with-led-eyes-0128ad;https://www.hackster.io/user62686082
0;1;1669;5;0;1005;5;0;11;3;6;https://www.hackster.io/contests/IDT-Power;https://www.hackster.io/jreese/kid-safe-tablet-charger-212187;https://www.hackster.io/jreese
0;1;1667;8;1;47;0;0;1;1;1;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/jardag/touch-controlled-talking-clock-for-psoc-analog-coprocessor-98c5a0;https://www.hackster.io/jardag
0;1;1665;13;1;7752;16;3;119;4;48;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/wesee/smart-home-sensor-node-de23c6;https://www.hackster.io/wesee
0;1;1661;5;1;381;3;0;9;0;11;https://www.hackster.io/contests/hologram;https://www.hackster.io/claude4/simple-asset-tracking-a740b1;https://www.hackster.io/claude4
0;1;1657;9;1;1194;9;1;2;0;1;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/the-lichees/literally-the-cheapest-robot-i-could-come-up-with-23fdba;https://www.hackster.io/dli40
0;1;1651;8;1;190;3;2;94;6;27;https://www.hackster.io/contests/Infineon3D;https://www.hackster.io/Nyceane/3d-magnetic-block-breaker-a1afae;https://www.hackster.io/Nyceane
0;1;1643;1;1;1018;11;1;79;10;26;https://www.hackster.io/contests/AWSIoTMegaContest;https://www.hackster.io/ElvisWolcott/the-simplest-home-alarm-system-6152b2;https://www.hackster.io/ElvisWolcott
1;1;1631;6;0;671;0;0;25;0;8;https://www.hackster.io/contests/walabot2017;https://www.hackster.io/VBB/alexa-cloaking-device-using-walabot-for-special-effects-f18d88;https://www.hackster.io/VBB
0;1;1627;8;1;870;2;0;12;1;12;https://www.hackster.io/contests/Infineon3D;https://www.hackster.io/CAP-XPLAB/waterproof-magnetic-interface-control-without-contact-79c69a;https://www.hackster.io/CAP-XPLAB
0;1;1624;7;1;591;1;1;18;0;7;https://www.hackster.io/contests/sparkfun-blynk-contest;https://www.hackster.io/patrick3coffee/blynk-posturizer-ea0084;https://www.hackster.io/patrick3coffee
0;1;1618;6;1;6482;35;5;9;0;4;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/milesnash_/3d-printer-fire-safety-448acf;https://www.hackster.io/milesnash_
0;1;1595;1;1;497;4;0;5;1;8;https://www.hackster.io/contests/make-holiday-contest;https://www.hackster.io/PhilipV/circuit-playground-ornament-609256;https://www.hackster.io/PhilipV
0;1;1584;3;1;3007;30;3;81;0;13;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/charifmahmoudi/stylish-iot-neck-warmer-controlled-from-mobile-browser-0bb93e;https://www.hackster.io/charifmahmoudi
1;1;1584;3;1;3007;30;3;81;0;13;https://www.hackster.io/contests/arduino-holiday-contest;https://www.hackster.io/charifmahmoudi/stylish-iot-neck-warmer-controlled-from-mobile-browser-0bb93e;https://www.hackster.io/charifmahmoudi
1;1;1577;13;1;122;0;0;3;0;4;https://www.hackster.io/contests/alexa-raspberry-pi;https://www.hackster.io/user433344/vox-bot-your-vocal-companion-skill-c35a7e;https://www.hackster.io/user433344
0;1;1566;7;1;607;9;2;41;1;18;https://www.hackster.io/contests/particle;https://www.hackster.io/TinamousSteve/scanlime-in-progress-indicator-aka-youtube-live-indicator-c9458d;https://www.hackster.io/TinamousSteve
0;1;1551;3;1;36;1;0;0;0;1;https://www.hackster.io/contests/particle;https://www.hackster.io/yousifsalwan/iot-power-plug-controlled-by-alexa-google-assistant-5a12c8;https://www.hackster.io/yousifsalwan
0;1;1550;10;1;592;3;0;298;15;47;https://www.hackster.io/contests/DRS;https://www.hackster.io/coffee-drinkers/amazon-drs-promise-never-miss-coffee-break-again-a88584;https://www.hackster.io/RONDAGDAG
0;1;1545;4;1;1184;6;0;0;0;1;https://www.hackster.io/contests/KinetisFlexIO;https://www.hackster.io/sanjivkumar/blutag-ece1cb;https://www.hackster.io/sanjivkumar
0;1;1545;4;1;1184;6;0;0;0;1;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/sanjivkumar/blutag-ece1cb;https://www.hackster.io/sanjivkumar
0;1;1533;9;1;1268;12;0;93;22;48;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/PSoC_Rocks/psoc-4-natural-gas-leakage-alarm-system-for-kitchen-safety-13297b;https://www.hackster.io/PSoC_Rocks
1;1;1527;11;1;2306;21;1;37;0;6;https://www.hackster.io/contests/CI20;https://www.hackster.io/asadzia/teach-your-robot-human-emotions-55ff3c;https://www.hackster.io/asadzia
0;1;1523;7;1;920;2;0;19;3;16;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/austin-stanton/using-a-tablet-to-control-a-raspberry-pi-with-labview-99dc3e;https://www.hackster.io/austin-stanton
1;1;1520;11;1;137;5;0;1;0;1;https://www.hackster.io/contests/STMicroelectronics;https://www.hackster.io/iot/claim-warranty-for-water-purifier-968622;https://www.hackster.io/CSwathi
1;1;1512;9;1;1583;5;0;49;7;12;https://www.hackster.io/contests/EarthDayPlanetPulse;https://www.hackster.io/microBob/enlight-sunset-v1-dcb35e;https://www.hackster.io/microBob
0;1;1488;6;1;10710;32;4;66;0;3;https://www.hackster.io/contests/AWSIoTMegaContest;https://www.hackster.io/aaronkow/simple-and-smart-air-purifier-system-8604ab;https://www.hackster.io/aaronkow
0;1;1466;10;0;1663;3;0;19;3;16;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/austin-stanton/using-the-openscope-mz-in-labview-8f0ee4;https://www.hackster.io/austin-stanton
0;1;1429;4;1;1993;7;0;1;0;3;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/danmart524/audible-vision-8d3fdb;https://www.hackster.io/danmart524
1;1;1421;9;1;26709;62;11;30;0;10;https://www.hackster.io/contests/Smartphone-Hacks;https://www.hackster.io/electronerd/sms-based-home-automation-system-using-1sheeld-5c4823;https://www.hackster.io/electronerd
1;1;1397;0;0;1450;5;0;0;0;2;https://www.hackster.io/contests/alexa-api-contest;https://www.hackster.io/hakan-mehmed/currency-exchange-alexa-skill-16ac3b;https://www.hackster.io/hakan-mehmed
1;1;1373;9;1;159;4;0;0;3;5;https://www.hackster.io/contests/Infineon3D;https://www.hackster.io/gawad/gas-pedal-for-simulator-game-fb73c7;https://www.hackster.io/gawad
0;1;1349;2;1;3027;10;0;42;0;10;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/hackstermia/android-things-led-button-6a2a4e;https://www.hackster.io/brandmooffin
0;1;1344;13;1;435;9;0;5;0;5;https://www.hackster.io/contests/amazon-alexa-skill-contest-one;https://www.hackster.io/extentia/funny-quoter-138b67;https://www.hackster.io/extentia
0;1;1333;8;0;35;0;0;2;0;1;https://www.hackster.io/contests/Helium;https://www.hackster.io/viget/motion-capture-like-we-re-on-mars-ff0489;https://www.hackster.io/stopshinal
