"","Winorloose","Schwierigkeitsgrad","Anzahl.der.Wörter","Anzahl.der.Bilder","Vollständige.Beschreibung","Views","Likes","Kommentare","Follower","Following","Anzahl.der.Projekte","Contest","Project_page","User_page"
"100",0,1,526,2,0,3.62,20,4,63,15,26,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/PatelDarshil/tame-the-beast-solar-power-station-for-arduino-3ec866","https://www.hackster.io/PatelDarshil"
"101",0,1,505,5,1,2.53,4,0,19,0,30,"https://www.hackster.io/contests/Intel-Arduino-101","https://www.hackster.io/FunguyPro/arduino-fall-detector-ceb151","https://www.hackster.io/FunguyPro"
"102",0,1,500,3,0,1.174,2,0,3,2,3,"https://www.hackster.io/contests/april-fools","https://www.hackster.io/jonathan-tindal/tricky-tumbler-2117c2","https://www.hackster.io/jonathan-tindal"
"103",0,1,487,0,0,200,0,0,0,0,1,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/steven-inouye/mr-catnaps-leds-559158","https://www.hackster.io/steven-inouye"
"104",0,1,480,6,1,40,0,0,17,0,5,"https://www.hackster.io/contests/make-holiday-contest","https://www.hackster.io/mike-rigsby/frosty-behind-bars-dfa997","https://www.hackster.io/mike-rigsby"
"105",0,1,475,4,0,1.516,8,0,204,54,49,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/bltrobotics/green-light-fashion-f9fcf6","https://www.hackster.io/bltrobotics"
"106",0,1,459,5,0,6.009,28,6,139,0,14,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/KaustubhAgarwal/rain-warning-display-on-mobile-for-your-home-garden-86c691","https://www.hackster.io/KaustubhAgarwal"
"107",0,1,459,1,1,1.077,15,3,3,0,1,"https://www.hackster.io/contests/hardware-home","https://www.hackster.io/schorsch007/degree-6f7391","https://www.hackster.io/schorsch007"
"108",0,1,439,2,0,669,8,1,3,1,2,"https://www.hackster.io/contests/smart-devices-for-smart-cities","https://www.hackster.io/daryllukas/load-shedding-notifier-1354a0","https://www.hackster.io/daryllukas"
"109",0,1,436,4,1,173,5,0,5,1,8,"https://www.hackster.io/contests/make-holiday-contest","https://www.hackster.io/PhilipV/simple-spinning-christmas-ornament-a2d77e","https://www.hackster.io/PhilipV"
"110",0,1,428,3,1,8.264,35,12,4,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/team-hermes/swarm-bots-assembly-and-co-operative-transport-fedbe0","https://www.hackster.io/engg_suraj"
"111",0,1,426,3,0,1.227,4,0,1,0,1,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/kakopappa/sinric-147d27","https://www.hackster.io/kakopappa"
"112",0,1,426,2,1,2.513,12,2,213,6,58,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/gatoninja236/sudo-make-some-toast-8e96f1","https://www.hackster.io/gatoninja236"
"113",0,1,423,2,0,2.582,29,4,38,0,10,"https://www.hackster.io/contests/particle-star-wars","https://www.hackster.io/keithmitchell/photon-wifi-strength-meter-v2-29151d","https://www.hackster.io/keithmitchell"
"114",0,1,423,1,0,1.134,18,3,6,0,2,"https://www.hackster.io/contests/hardware-home","https://www.hackster.io/agent-override-2/impweather-steampunk-style-31d94c","https://www.hackster.io/agent-override-2"
"115",0,1,419,1,1,5.504,35,8,5,1,3,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/arturju/roomba-wifi-upgrade-d7ecf6","https://www.hackster.io/arturju"
"116",0,1,397,6,0,4.104,9,0,6,1,2,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/sontireddyran/robotic-car-controlled-over-bluetooth-by-andriod-phone-7ea333","https://www.hackster.io/sontireddyran"
"117",0,1,393,2,1,65,0,0,0,0,1,"https://www.hackster.io/contests/april-fools","https://www.hackster.io/bLiTzJoN/unholy-grail-117612","https://www.hackster.io/bLiTzJoN"
"118",0,1,392,1,0,128,1,0,0,0,1,"https://www.hackster.io/contests/Intel-Arduino-101","https://www.hackster.io/ramon-alexandro-castaneda-cerdan/hyperion-uv-levels-ef0fa1","https://www.hackster.io/ramon-alexandro-castaneda-cerdan"
"119",0,1,392,1,0,128,1,0,0,0,1,"https://www.hackster.io/contests/Intel-Arduino-101","https://www.hackster.io/ramon-alexandro-castaneda-cerdan/hyperion-uv-levels-ef0fa1","https://www.hackster.io/ramon-alexandro-castaneda-cerdan"
"120",0,1,388,0,0,79,2,1,1,0,2,"https://www.hackster.io/contests/smart-devices-for-smart-cities","https://www.hackster.io/Vinnii/linkit-ledstrip-528831","https://www.hackster.io/Vinnii"
"121",0,1,381,0,1,77,0,0,0,0,1,"https://www.hackster.io/contests/april-fools","https://www.hackster.io/profhuster/the-drink-safely-cup-0078b6","https://www.hackster.io/profhuster"
"122",0,1,380,3,0,7,0,0,0,0,1,"https://www.hackster.io/contests/pi-day-contest","https://www.hackster.io/user36087062/as-american-as-apple-pi-e-inspired-by-wayne-thiebald-e03e9b","https://www.hackster.io/user36087062"
"123",0,1,359,2,0,32,1,0,1,0,3,"https://www.hackster.io/contests/pi-day-contest","https://www.hackster.io/trinity-wiggin-26/machine-eye-f9e27f","https://www.hackster.io/trinity-wiggin-26"
"124",0,1,322,3,0,47.669,98,20,139,0,14,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/KaustubhAgarwal/smart-doorbell-364e28","https://www.hackster.io/KaustubhAgarwal"
"125",0,1,316,0,0,116,1,0,0,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/KangTP/zipper-watcher-8d1b99","https://www.hackster.io/KangTP"
"126",0,1,298,3,0,1.244,2,1,0,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/pdenisov/spartan-wifi-pager-system-48c7dc","https://www.hackster.io/pdenisov"
"127",0,1,294,0,1,2.483,3,2,17,1,6,"https://www.hackster.io/contests/pi-day-contest","https://www.hackster.io/phfbertoleti/and-telegram-for-pi-a5573e","https://www.hackster.io/phfbertoleti"
"128",0,1,289,1,1,412,3,0,0,0,2,"https://www.hackster.io/contests/particle-star-wars","https://www.hackster.io/flebel/squeaky-r2d2-notification-button-513ced","https://www.hackster.io/flebel"
"129",0,1,263,2,1,1.597,7,0,119,4,48,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/wesee/anna-alexa-powered-interactive-light-263790","https://www.hackster.io/wesee"
"130",0,1,258,2,1,16.063,26,4,30,0,4,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/YoussefSabaa/bluetooth-control-led-with-lcd-led-status-display-real-time-58f9ca","https://www.hackster.io/YoussefSabaa"
"131",0,1,251,0,1,4.983,24,3,213,6,58,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/gatoninja236/raspberry-pi-texting-intruder-alarm-d0d2a8","https://www.hackster.io/gatoninja236"
