Winorloose;Schwierigkeitsgrad;words;images;instructions;views;likes;comments;follower;following;projects;contest;projectpage;userpage
0;1;1248;3;0;122;4;0;0;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/nikola-phreak-f8cb03/viseesaw-989122;https://www.hackster.io/user20700377
0;1;1221;3;0;1054;13;1;2;0;1;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/jorge-eduardo-porras-b/mushroom-cultivation-febe41;https://www.hackster.io/jorge-eduardo-porras-b
0;1;1192;3;1;579;2;0;14;9;9;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/crazycoder1999/handstand-master-7644fe;https://www.hackster.io/crazycoder1999
0;1;1183;4;0;532;3;2;0;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/alien-deckard-b5db8d/mkr1000-integrated-component-tester-10243e;https://www.hackster.io/user2042481
0;1;1164;5;1;1814;13;8;93;22;48;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/PSoC_Rocks/psoc-auto-ranging-ohms-meter-41dc9e;https://www.hackster.io/PSoC_Rocks
0;1;1162;5;1;326;0;0;0;0;1;https://www.hackster.io/contests/make-holiday-contest;https://www.hackster.io/ann-mackowski/freestanding-lace-ornament-f21d8a;https://www.hackster.io/ann-mackowski
0;1;1144;16;1;1813;9;6;30;0;4;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/YoussefSabaa/mkr1000-with-windows-10-ffd0a3;https://www.hackster.io/YoussefSabaa
0;1;1144;4;1;1356;12;6;299;0;20;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/anthony-ngu/force-control-anything-33f398;https://www.hackster.io/anthony-ngu
0;1;1116;9;1;6933;23;14;30;7;11;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/dhairya-parikh/smart-energy-saver-for-your-home-943819;https://www.hackster.io/dhairya-parikh
0;1;1109;7;0;5521;17;1;63;15;26;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/PatelDarshil/updated-solar-power-station-for-arduino-e52b6f;https://www.hackster.io/PatelDarshil
0;1;1076;3;0;1301;4;0;17;1;13;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/amerch92/cat-tracker-with-linkit-one-2e461c;https://www.hackster.io/amerch92
0;1;1075;4;1;8925;27;2;3;0;1;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/team-passionate-contributers/hi-remote-meet-cortana-ec8774;https://www.hackster.io/jorisbrauns
0;1;1044;4;1;2336;7;0;6;0;6;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/exp0nge/mapping-road-conditions-758370;https://www.hackster.io/exp0nge
0;1;1029;1;1;763;4;0;17;1;13;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/amerch92/parked-car-finder-3677b3;https://www.hackster.io/amerch92
0;1;1028;4;1;17276;16;7;13;0;4;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/thomas_sxt/automatic-coffee-machine-950544;https://www.hackster.io/thomas_sxt
0;1;1016;0;1;414;2;0;15;32;8;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/ishotjr/groby-personal-information-display-using-arduino-101-grove-484541;https://www.hackster.io/ishotjr
0;1;980;1;0;530;6;2;6;0;2;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/ddk220/photon-alarm-with-mozilla-os-2ff407;https://www.hackster.io/ddk220
0;1;969;4;1;1757;10;0;1;0;2;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/divyansh-jain/raspberry-pi-home-automation-16d1f8;https://www.hackster.io/divyansh-jain
0;1;948;7;0;595;14;2;6;0;2;https://www.hackster.io/contests/hardware-home;https://www.hackster.io/agent-override-2/echodeco-case-for-internet-radio-3916f8;https://www.hackster.io/agent-override-2
0;1;947;3;1;3529;20;2;58;0;17;https://www.hackster.io/contests/april-fools;https://www.hackster.io/AlexWulff/3d-printed-prank-vibrating-cup-033e3b;https://www.hackster.io/AlexWulff
0;1;945;4;1;5828;22;2;67;5;14;https://www.hackster.io/contests/pi-day-contest;https://www.hackster.io/fvdbosch/binary-clock-fe7bfc;https://www.hackster.io/fvdbosch
0;1;916;3;1;2415;8;2;2;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/13146/engineering-a-black-ice-detection-system-for-roadways-b6300e;https://www.hackster.io/Ankitty
0;1;915;4;1;1655;6;10;213;6;58;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/gatoninja236/log-data-to-google-sheet-particle-photon-7f7f22;https://www.hackster.io/gatoninja236
0;1;910;7;0;907;8;1;24;1;22;https://www.hackster.io/contests/HomeandOfficeFuture;https://www.hackster.io/LaurenceHR/getting-started-with-station-mode-of-linkit-smart-7688-duo-34c0f0;https://www.hackster.io/LaurenceHR
0;1;895;3;1;1761;19;1;2;0;1;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/syauqy/ledsaber-color-customizable-lightsaber-289b9d;https://www.hackster.io/syauqy
0;1;889;4;0;1816;2;2;2;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/gidster/wisdome-weapon-identification-system-dome-8e31d6;https://www.hackster.io/gidster
0;1;887;6;1;2615;11;0;2;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/nemesis5324/voice-controlled-rgb-lamp-41f1a3;https://www.hackster.io/nemesis5324
0;1;857;2;0;423;11;2;8;0;3;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/NikitaP/iot-door-bell-21ac25;https://www.hackster.io/NikitaP
0;1;856;5;1;58;0;0;3;0;4;https://www.hackster.io/contests/hardware-home;https://www.hackster.io/dcsp/doorshield-63a667;https://www.hackster.io/dcsp
0;1;854;4;1;2412;9;0;1;0;5;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/mcmchris/nodemcu-smart-room-esp8266-arduino-d471fd;https://www.hackster.io/mcmchris
0;1;840;3;0;3874;19;2;24;0;3;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/cyborg-gibson-11/automated-blinds-by-cortana-7bfaff;https://www.hackster.io/cyborg-gibson-11
0;1;830;2;0;2152;6;2;17;0;12;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/kuzma/pre-bedtime-environment-analysis-70da64;https://www.hackster.io/kuzma
0;1;823;7;0;1618;17;1;63;2;11;https://www.hackster.io/contests/HomeandOfficeFuture;https://www.hackster.io/akashchandran30/expand-the-memory-in-linkit-7688-e37aa5;https://www.hackster.io/akashchandran30
1;1;820;5;1;720;8;3;2;0;1;https://www.hackster.io/contests/make-holiday-contest;https://www.hackster.io/johnathan-powell/blinking-and-singing-snowman-ornament-5c6dc5;https://www.hackster.io/johnathan-powell
0;1;817;4;1;4476;18;5;7;0;1;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/walid-mafuj/android-motion-detector-camera-with-arduino-mcu-306789;https://www.hackster.io/walid-mafuj
0;1;768;0;1;300;2;0;17;1;6;https://www.hackster.io/contests/HomeandOfficeFuture;https://www.hackster.io/phfbertoleti/network-downtime-monitor-22d098;https://www.hackster.io/phfbertoleti
0;1;766;2;0;2178;6;2;4;0;1;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/gdritter/halcyon-1e2c7e;https://www.hackster.io/gdritter
0;1;744;6;0;2224;21;9;60;1;12;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/carmelito/keyless-door-entry-5a9e74;https://www.hackster.io/carmelito
0;1;708;4;1;30;0;0;3;0;6;https://www.hackster.io/contests/pi-day-contest;https://www.hackster.io/jessews/pi-in-a-box-9a22fb;https://www.hackster.io/jessews
0;1;684;5;0;4654;28;2;8;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/almogwald/my-xl-wireless-photo-wall-pictureled-612dce;https://www.hackster.io/almogwald
0;1;681;5;0;66;0;2;0;0;3;https://www.hackster.io/contests/april-fools;https://www.hackster.io/jeremy-connell/danish-army-cup-da1d54;https://www.hackster.io/jeremy-connell
0;1;670;3;1;1691;11;1;4;0;1;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/11708/smart-heart-monitoring-system-4695ec;https://www.hackster.io/agent-libra
0;1;663;1;1;250;0;0;1;1;4;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/jacek-pieczaba/occupancy-detector-8f72dd;https://www.hackster.io/jacek-pieczaba
0;1;658;1;1;22639;36;5;6;0;1;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/zoobaka/automatic-plant-watering-system-f947e6;https://www.hackster.io/zoobaka
0;1;652;2;0;112;0;0;6;1;4;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/user5047216367/desktop-greenhouse-control-hub-50033f;https://www.hackster.io/user5047216367
0;1;648;5;0;462;2;0;0;0;1;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/ivanlsuarezc/nursing-call-for-patient-care-0a37b9;https://www.hackster.io/ivanlsuarezc
0;1;642;3;0;1247;1;1;13;0;3;https://www.hackster.io/contests/pi-day-contest;https://www.hackster.io/colonel/calculating-pi-d85ea7;https://www.hackster.io/colonel
0;1;637;3;1;46;0;0;0;0;2;https://www.hackster.io/contests/april-fools;https://www.hackster.io/rockin-cup-team/rockin-timer-cup-58cb2d;https://www.hackster.io/LittleMaker
0;1;633;4;0;2474;4;0;1;0;1;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/gdartur/pi-exercise-bike-e2001d;https://www.hackster.io/gdartur
0;1;626;3;1;144;1;1;1;1;4;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/jacek-pieczaba/electric-box-supervisor-e4056b;https://www.hackster.io/jacek-pieczaba
0;1;603;4;1;187;2;0;19;0;30;https://www.hackster.io/contests/HomeandOfficeFuture;https://www.hackster.io/FunguyPro/dog-water-alarm-v2-e88760;https://www.hackster.io/FunguyPro
0;1;594;0;0;973;2;0;4;0;2;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/Collie147/3d-printer-power-controller-and-fault-monitor-1c62fb;https://www.hackster.io/Collie147
0;1;590;5;1;259;2;0;0;0;1;https://www.hackster.io/contests/make-holiday-contest;https://www.hackster.io/ucn-ucn/one-ornament-christmas-tree-4a05f8;https://www.hackster.io/ucn-ucn
0;1;582;4;1;160;1;0;1;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/az-design/greenfingers-community-greenit-ea3551;https://www.hackster.io/andrea689
1;1;579;2;1;12758;36;1;24;0;5;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/corky2003/pi-skype-monitor-ddc391;https://www.hackster.io/corky2003
0;1;579;8;1;436;3;1;0;0;1;https://www.hackster.io/contests/pi-day-contest;https://www.hackster.io/halifax-makerspace/determining-pi-with-a-raspberry-pi-822d63;https://www.hackster.io/glassgiant
0;1;540;0;1;6871;35;8;49;13;9;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/sameerk/keep-the-wifi-on-4f32ba;https://www.hackster.io/sameerk
0;1;526;2;0;362;20;4;63;15;26;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/PatelDarshil/tame-the-beast-solar-power-station-for-arduino-3ec866;https://www.hackster.io/PatelDarshil
0;1;505;5;1;253;4;0;19;0;30;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/FunguyPro/arduino-fall-detector-ceb151;https://www.hackster.io/FunguyPro
0;1;500;3;0;1174;2;0;3;2;3;https://www.hackster.io/contests/april-fools;https://www.hackster.io/jonathan-tindal/tricky-tumbler-2117c2;https://www.hackster.io/jonathan-tindal
0;1;487;0;0;200;0;0;0;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/steven-inouye/mr-catnaps-leds-559158;https://www.hackster.io/steven-inouye
0;1;480;6;1;40;0;0;17;0;5;https://www.hackster.io/contests/make-holiday-contest;https://www.hackster.io/mike-rigsby/frosty-behind-bars-dfa997;https://www.hackster.io/mike-rigsby
0;1;475;4;0;1516;8;0;204;54;49;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/bltrobotics/green-light-fashion-f9fcf6;https://www.hackster.io/bltrobotics
0;1;459;5;0;6009;28;6;139;0;14;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/KaustubhAgarwal/rain-warning-display-on-mobile-for-your-home-garden-86c691;https://www.hackster.io/KaustubhAgarwal
0;1;459;1;1;1077;15;3;3;0;1;https://www.hackster.io/contests/hardware-home;https://www.hackster.io/schorsch007/degree-6f7391;https://www.hackster.io/schorsch007
0;1;439;2;0;669;8;1;3;1;2;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/daryllukas/load-shedding-notifier-1354a0;https://www.hackster.io/daryllukas
0;1;436;4;1;173;5;0;5;1;8;https://www.hackster.io/contests/make-holiday-contest;https://www.hackster.io/PhilipV/simple-spinning-christmas-ornament-a2d77e;https://www.hackster.io/PhilipV
0;1;428;3;1;8264;35;12;4;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/team-hermes/swarm-bots-assembly-and-co-operative-transport-fedbe0;https://www.hackster.io/engg_suraj
0;1;426;3;0;1227;4;0;1;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/kakopappa/sinric-147d27;https://www.hackster.io/kakopappa
0;1;426;2;1;2513;12;2;213;6;58;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/gatoninja236/sudo-make-some-toast-8e96f1;https://www.hackster.io/gatoninja236
0;1;423;2;0;2582;29;4;38;0;10;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/keithmitchell/photon-wifi-strength-meter-v2-29151d;https://www.hackster.io/keithmitchell
0;1;423;1;0;1134;18;3;6;0;2;https://www.hackster.io/contests/hardware-home;https://www.hackster.io/agent-override-2/impweather-steampunk-style-31d94c;https://www.hackster.io/agent-override-2
0;1;419;1;1;5504;35;8;5;1;3;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/arturju/roomba-wifi-upgrade-d7ecf6;https://www.hackster.io/arturju
0;1;397;6;0;4104;9;0;6;1;2;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/sontireddyran/robotic-car-controlled-over-bluetooth-by-andriod-phone-7ea333;https://www.hackster.io/sontireddyran
0;1;393;2;1;65;0;0;0;0;1;https://www.hackster.io/contests/april-fools;https://www.hackster.io/bLiTzJoN/unholy-grail-117612;https://www.hackster.io/bLiTzJoN
0;1;392;1;0;128;1;0;0;0;1;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/ramon-alexandro-castaneda-cerdan/hyperion-uv-levels-ef0fa1;https://www.hackster.io/ramon-alexandro-castaneda-cerdan
0;1;392;1;0;128;1;0;0;0;1;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/ramon-alexandro-castaneda-cerdan/hyperion-uv-levels-ef0fa1;https://www.hackster.io/ramon-alexandro-castaneda-cerdan
0;1;388;0;0;79;2;1;1;0;2;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/Vinnii/linkit-ledstrip-528831;https://www.hackster.io/Vinnii
0;1;381;0;1;77;0;0;0;0;1;https://www.hackster.io/contests/april-fools;https://www.hackster.io/profhuster/the-drink-safely-cup-0078b6;https://www.hackster.io/profhuster
0;1;380;3;0;7;0;0;0;0;1;https://www.hackster.io/contests/pi-day-contest;https://www.hackster.io/user36087062/as-american-as-apple-pi-e-inspired-by-wayne-thiebald-e03e9b;https://www.hackster.io/user36087062
0;1;359;2;0;32;1;0;1;0;3;https://www.hackster.io/contests/pi-day-contest;https://www.hackster.io/trinity-wiggin-26/machine-eye-f9e27f;https://www.hackster.io/trinity-wiggin-26
0;1;322;3;0;47669;98;20;139;0;14;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/KaustubhAgarwal/smart-doorbell-364e28;https://www.hackster.io/KaustubhAgarwal
0;1;316;0;0;116;1;0;0;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/KangTP/zipper-watcher-8d1b99;https://www.hackster.io/KangTP
0;1;298;3;0;1244;2;1;0;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/pdenisov/spartan-wifi-pager-system-48c7dc;https://www.hackster.io/pdenisov
0;1;294;0;1;2483;3;2;17;1;6;https://www.hackster.io/contests/pi-day-contest;https://www.hackster.io/phfbertoleti/and-telegram-for-pi-a5573e;https://www.hackster.io/phfbertoleti
0;1;289;1;1;412;3;0;0;0;2;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/flebel/squeaky-r2d2-notification-button-513ced;https://www.hackster.io/flebel
0;1;263;2;1;1597;7;0;119;4;48;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/wesee/anna-alexa-powered-interactive-light-263790;https://www.hackster.io/wesee
0;1;258;2;1;16063;26;4;30;0;4;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/YoussefSabaa/bluetooth-control-led-with-lcd-led-status-display-real-time-58f9ca;https://www.hackster.io/YoussefSabaa
0;1;251;0;1;4983;24;3;213;6;58;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/gatoninja236/raspberry-pi-texting-intruder-alarm-d0d2a8;https://www.hackster.io/gatoninja236
0;1;225;0;1;3149;12;0;2;0;2;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/jm4rc0/brozabot-mk1-e24f40;https://www.hackster.io/jm4rc0
0;1;203;0;1;2502;17;2;8;15;7;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/40807/healthy-arduino-69db68;https://www.hackster.io/SandeepDwivedi
0;1;198;1;1;599;3;0;0;0;1;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/team-indianrocker/smart-home-using-iot-a2e97e;https://www.hackster.io/chandan
0;1;189;2;0;72;0;0;8;0;8;https://www.hackster.io/contests/april-fools;https://www.hackster.io/chuartdo/eye-scream-cup-9d39bc;https://www.hackster.io/chuartdo
0;1;181;1;0;270;1;0;5;0;7;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/3magku/ble-breathing-movement-monitor-scratch-fec1b7;https://www.hackster.io/3magku
0;1;181;1;0;60;0;1;0;0;1;https://www.hackster.io/contests/make-holiday-contest;https://www.hackster.io/jim-weber/star-ornament-d44ebc;https://www.hackster.io/jim-weber
0;1;175;1;0;22904;52;8;139;0;14;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/KaustubhAgarwal/room-temperature-sensor-with-display-on-mobile-009beb;https://www.hackster.io/KaustubhAgarwal
0;1;171;0;1;213;1;0;0;0;1;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/laurian_lamba/windows-says-standup-535ad1;https://www.hackster.io/laurian_lamba
0;1;160;0;0;321;8;2;5;2;3;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/team-vader-vambrace/vader-vambrace-0e6e3c;https://www.hackster.io/abraxas3d
